movie_id,title,release_year,budget,revenue,vote_average,collection_id
39130,Dinner at Eight,1933,435000,2156000,6.707,
39938,Little Women,1933,424000,2100000,6.8,
140581,Damaged Lives,1933,10000,1800000,4.1,
99729,Central Airport,1933,421000,747000,6.3,
43149,The Son of Kong,1933,250000,616000,5.4,135495.0
258832,Convention City,1933,239000,522000,3.5,
27449,Baby Face,1933,187000,451000,7.3,
10787,The Invisible Man,1933,328000,27105,7.5,259401.0
1421410,Contact,1933,0,0,0.0,
1417050,In Sala Operatoria,1933,0,0,0.0,
1392200,Clancy of the Mounted,1933,0,0,0.0,
1391154,"Matto Grosso, the Great Brazilian Wilderness",1933,0,0,0.0,
1387491,Outokumpu,1933,0,0,0.0,
1387465,Kamet Conquered,1933,0,0,0.0,
1387442,Fly American!,1933,0,0,0.0,
1387433,First Inauguration of Franklin D. Roosevelt,1933,0,0,0.0,
3078,It Happened One Night,1934,325000,4500000,7.8,
84097,One Night of Love,1934,733150,2500000,5.5,
150249,Forsaking All Others,1934,420069,2199000,6.4,
28288,The Gay Divorcee,1934,520000,1800000,6.8,
3529,The Thin Man,1934,226408,1423000,7.5,47814.0
77198,Broadway Bill,1934,668900,1400000,6.079,
75880,Belle of the Nineties,1934,800000,1300000,5.75,
43693,The Barretts of Wimpole Street,1934,820000,1258000,6.0,
82096,The Painted Veil,1934,947000,1120000,6.5,
53872,Fashions of 1934,1934,317000,965000,6.4,
178341,Mandalay,1934,294000,629000,5.9,
24106,The Black Cat,1934,95745,236000,6.7,
321730,Let's Try Again,1934,250,183,2.5,
1416126,Synchromy No. 1,1934,0,0,0.0,
1416122,The Underground Printer,1934,0,0,0.0,
1400235,Think About Your Safety,1934,0,0,0.0,
1390642,The Fair City of Udaipur,1934,0,0,0.0,
1390639,The Menace of Guatemala,1934,0,0,0.0,
1390629,Radio Röhren Revolution,1934,0,0,0.0,
1390627,Children of the Nile,1934,0,0,0.0,
1390622,Listening In,1934,0,0,0.0,
1390618,Assassination of King Alexander,1934,0,0,0.0,
1379711,Radio Scout,1934,0,0,0.0,
1377791,Muratti greift ein,1934,0,0,0.0,
1371550,"Africa, Land of Contrast",1934,0,0,0.0,
19075,A Midsummer Night's Dream,1935,0,25002557,6.5,
12311,Mutiny on the Bounty,1935,1950000,4460000,7.357,
3080,Top Hat,1935,609000,3202000,7.276,
43899,David Copperfield,1935,1073000,3064000,6.588,
43898,The Lives of a Bengal Lancer,1935,0,3000000,6.6,
43894,Naughty Marietta,1935,782000,2057000,5.1,
229,Bride of Frankenstein,1935,393750,2000000,7.5,218406.0
70881,Anna Karenina,1935,1152000,1439000,6.6,
82106,After Office Hours,1935,366000,1281000,6.4,
26323,Bordertown,1935,369000,1237000,5.9,
43896,The Informer,1935,243000,950000,6.7,
53863,Star of Midnight,1935,280000,831000,6.0,
43886,Alice Adams,1935,342000,770000,6.726,
43887,Annie Oakley,1935,354000,620000,6.4,
31866,Sylvia Scarlett,1935,641000,497000,6.318,
405607,Captain Hurricane,1935,208,150,4.5,
196693,The Girl from 10th Avenue,1935,0,69,6.5,
1414849,Never Say Never,1935,0,0,0.0,
1413096,Arshaula,1935,0,0,0.0,
1411250,Free Thaelmann,1935,0,0,0.0,
1392368,Why Not Live?,1935,0,0,0.0,
1392359,The Magic of Music,1935,0,0,0.0,
1392356,The Farmall Does the Job: The Farmall-12 in the South,1935,0,0,0.0,
1391963,Songwriters of the Gay Nineties,1935,0,0,0.0,
1391959,Let's Visit Finland,1935,0,0,0.0,
43881,San Francisco,1936,1300000,5273000,6.6,
43277,The Great Ziegfeld,1936,2183000,4673000,6.2,
43880,Rose Marie,1936,875000,3515000,6.2,
14588,After the Thin Man,1936,673000,3165000,7.348,47814.0
37658,Anthony Adverse,1936,1192000,2750000,5.683,
43884,The Charge of the Light Brigade,1936,1200000,2736000,6.466,
28292,Follow the Fleet,1936,747000,2727000,6.821,
20325,Swing Time,1936,886000,2600000,6.809,
112284,The Gorgeous Hussy,1936,1119000,2019000,5.2,
3082,Modern Times,1936,1500000,1800000,8.284,
292633,The White Angel,1936,506000,1416000,8.0,
14615,Fury,1936,604000,1300000,7.478,
43875,Mary of Scotland,1936,864000,1276000,6.3,
23114,Little Lord Fauntleroy,1936,590000,1037000,6.8,
13562,My Man Godfrey,1936,575375,684200,7.561,
112618,The Bride Walks Out,1936,289000,670000,5.3,
108348,A Woman Rebels,1936,574000,583000,5.8,
81116,Big Brown Eyes,1936,289696,359009,6.261,
1418225,პირველი დღე,1936,0,0,0.0,
1392984,Vitaphone Billboard,1936,0,0,0.0,
1392980,"The Story of Norton I, Emperor of the United States",1936,0,0,0.0,
1392975,Tarzan and the Rocky Gorge,1936,0,0,0.0,
1392970,Time Savers for House Makers,1936,0,0,0.0,
1392967,The World's Youngest Giant!,1936,0,0,0.0,
1392961,Scouring the Skies!,1936,0,0,0.0,
43867,The Prisoner of Zenda,1937,1250000,5000000,7.491,
